#NSGA2
popsize 100
maxGen 200
numVar 22
numObj 3
numCons 4
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	100
totalTime	20.4785
firstFrontCount	5
frontCount	69
avgEvalTime	0.203051
#end
NumDecks	SLayout	Length	Width	Height	Wheelbase	Structure	NumChargers	Gangway	Pitch	SWidth	MType	DWidth	Topology	UPower	Capacity	ChaPow	PSpace	FA1	FA2	RA1	RA2	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	
2	3	17.516	2.65096	4.16271	4.85045	2	133	0.459141	0.716032	0.415522	2	1.00141	2	61	394	366	0.246806	21.2177	7.22283	26.8899	2.10116	9e+09	9e+09	9e+09	0	0	0	0	
1	3	12.8311	2.32135	3.43722	5.68823	2	171	0.470072	0.651206	0.439506	3	0.988172	3	54	172	457	0.205245	27.5004	5.06426	14.7251	5.28182	111108	-23.3399	900	0	0	0	0	
2	2	15.98	2.45858	3.01119	5.63681	1	34	0.484357	0.805613	0.413134	2	1.25532	3	62	184	240	0.200108	25.4719	6.71449	28.741	16.3165	9e+09	9e+09	9e+09	0	0	0	0	
1	1	8.19434	2.24415	3.04777	5.28239	2	128	0.516787	0.7367	0.429955	4	1.32438	3	168	144	294	0.187195	16.2214	13.8742	28.0454	10.0021	959203	-31.5687	900	0	0	0	0	
2	2	9.95121	2.35807	3.55284	6.82069	1	174	0.502969	0.75931	0.426641	3	0.658264	4	56	305	111	0.186789	30.9738	10.6905	27.4099	7.32791	9e+09	9e+09	9e+09	0	0	0	0	
2	2	12.7238	2.38838	3.96494	6.36758	1	175	0.469427	0.71847	0.44843	3	0.747816	5	163	201	167	0.197755	29.8372	5.31347	16.0171	9.58676	159740	-23.4217	900	0	0	0	0	
2	2	13.3812	2.43114	2.56856	5.47803	1	33	0.535146	0.761762	0.417437	3	0.847516	4	139	266	142	0.190614	34.6108	4.2935	5.59835	7.40818	9e+09	9e+09	9e+09	0	0	0	0	
2	3	8.05948	2.62851	4.32078	4.6818	2	8	0.453846	0.690912	0.445502	4	1.00856	5	122	292	465	0.209279	23.9257	7.41333	12.4717	16.961	9e+09	9e+09	9e+09	0	0	0	0	
2	2	10.44	2.24769	2.53635	6.30467	2	148	0.534645	0.680627	0.424601	3	0.783286	4	112	284	184	0.202273	25.3599	9.29982	17.4579	19.7483	9e+09	9e+09	9e+09	0	0	0	0	
2	2	9.03822	2.48967	2.47469	5.33231	1	68	0.500249	0.685359	0.410985	2	1.22573	2	76	327	62	0.178122	16.6504	9.40456	30.5543	4.31434	9e+09	9e+09	9e+09	0	0	0	0	
2	3	12.3183	2.68979	4.21823	6.31036	2	155	0.494335	0.680811	0.403433	1	0.893518	4	140	150	81	0.210838	34.9575	11.1141	15.1134	7.79329	102664	-22.0569	900	0	0	0	0	
1	2	12.786	2.51757	3.65966	6.07153	3	176	0.457715	0.796643	0.431338	3	1.02805	2	147	414	342	0.236016	32.7368	15.8216	18.5271	7.6602	207969	-25.5677	900	0	0	0	0	
1	3	8.48807	2.42599	3.70651	6.50704	2	41	0.51063	0.71984	0.424453	2	0.773247	2	103	104	239	0.233346	19.5264	16.2435	25.4128	14.475	309915	-22.1604	900	0	0	0	0	
2	2	15.2786	2.30812	4.3362	6.84725	2	114	0.531898	0.69176	0.405579	1	0.938144	3	139	135	95	0.182349	11.9869	1.58721	5.36719	1.24872	120242	-21.8582	900	0	0	0	0	
2	2	15.1994	2.67848	3.53757	5.73131	3	28	0.525295	0.782657	0.435123	2	1.18249	3	65	240	295	0.191073	17.6544	12.6697	28.226	5.66055	9e+09	9e+09	9e+09	0	0	0	0	
1	2	17.4694	2.35303	2.6961	5.31466	2	14	0.509354	0.652424	0.402433	3	0.941935	3	113	105	426	0.215011	29.3751	10.3635	31.8034	19.8814	9e+09	9e+09	9e+09	0	0	0	0	
1	2	11.7689	2.23777	3.38712	4.65234	3	179	0.525164	0.706765	0.431852	4	0.97192	2	163	163	249	0.215574	19.5715	10.159	31.1562	20.6127	0.991085	-11.6798	0.368158	0	0	0	0	
2	2	13.8872	2.63919	3.1722	6.88165	2	49	0.500456	0.695965	0.438377	1	0.809386	3	80	77	354	0.184448	32.4827	3.60582	20.4879	20.3736	9e+09	9e+09	9e+09	0	0	0	0	
2	3	11.3541	2.3891	2.6703	6.68968	2	72	0.469875	0.805762	0.435779	4	1.09523	4	147	401	370	0.247238	27.2075	3.04003	18.5943	6.56548	9e+09	9e+09	9e+09	0	0	0	0	
2	2	15.4544	2.3536	3.29258	6.73103	2	132	0.456654	0.753325	0.410284	4	0.873881	2	65	329	96	0.180667	21.5569	16.6121	5.62617	11.2386	9e+09	9e+09	9e+09	0	0	0	0	
2	2	11.2511	2.50851	2.62871	6.72245	1	97	0.4834	0.794785	0.449309	2	0.697013	4	162	426	272	0.199264	8.94265	4.92432	34.7989	7.45197	9e+09	9e+09	9e+09	0	0	0	0	
1	3	17.3988	2.22224	3.75122	6.77902	3	52	0.483738	0.804695	0.406204	1	1.42363	3	162	278	101	0.214566	16.8156	3.19308	24.7267	15.4267	90662.9	-21.8189	900	0	0	0	0	
2	3	16.261	2.61382	3.28101	6.39113	2	174	0.454661	0.791527	0.402451	3	0.993294	5	115	291	405	0.234924	10.2497	10.2115	6.75957	3.59825	9e+09	9e+09	9e+09	0	0	0	0	
1	1	14.2216	2.65587	3.11558	5.25568	1	82	0.468287	0.761876	0.446811	3	1.30316	5	75	328	316	0.239735	14.0839	16.3624	34.285	9.54994	9e+09	9e+09	9e+09	0	0	0	0	
2	3	14.5736	2.60631	3.33426	6.0431	2	111	0.462785	0.66094	0.430595	2	0.756079	5	131	495	194	0.205995	18.708	1.22047	18.9866	3.57031	9e+09	9e+09	9e+09	0	0	0	0	
1	3	11.9595	2.51354	4.38081	6.2995	2	182	0.516394	0.783416	0.418719	2	0.862769	3	127	107	343	0.233133	24.0715	3.36195	24.5318	16.5973	150426	-13.7261	900	0	0	0	0	
2	4	8.51174	2.55151	3.74708	4.59975	1	11	0.522642	0.660204	0.411892	4	0.969276	4	87	492	439	0.199035	10.7236	10.949	12.1046	9.23992	9e+09	9e+09	9e+09	0	0	0	0	
1	2	13.6018	2.64447	2.80712	6.25859	1	89	0.535255	0.722081	0.409759	1	1.1252	4	163	350	192	0.226875	34.0629	7.15071	25.2965	4.55413	133831	-33.1835	900	0	0	0	0	
2	3	14.6773	2.64986	4.0501	6.00112	1	93	0.496088	0.668329	0.420824	4	1.01852	3	92	359	421	0.243783	33.0848	15.3171	27.1596	4.14789	95651.1	-23.9727	900	0	0	0	0	
2	2	8.54135	2.63838	4.46641	4.94961	3	137	0.53782	0.655651	0.41557	3	1.23225	5	91	371	371	0.227239	31.0043	4.53923	24.0898	6.8304	273291	-19.1413	900	0	0	0	0	
1	1	17.281	2.54586	4.35908	6.96116	2	120	0.471133	0.658914	0.405506	2	1.12945	5	154	453	353	0.219181	9.77029	19.0969	13.5906	15.8445	9e+09	9e+09	9e+09	0	0	0	0	
2	3	12.748	2.4125	2.87107	4.86497	2	86	0.453407	0.746734	0.442181	1	0.939829	4	148	244	133	0.192145	32.4121	4.33775	7.53129	15.8108	9e+09	9e+09	9e+09	0	0	0	0	
1	2	8.22354	2.60089	4.27732	4.57879	3	55	0.528729	0.748804	0.430561	2	1.3564	4	129	273	343	0.234952	11.4078	10.6933	16.1614	12.598	380087	-16.8903	900	0	0	0	0	
2	2	15.2797	2.44035	3.10073	5.38963	2	175	0.54495	0.790554	0.416172	2	0.923965	3	137	94	109	0.204498	11.1891	7.67956	5.9338	3.54687	9e+09	9e+09	9e+09	0	0	0	0	
1	4	12.0303	2.34455	4.45835	4.66348	2	30	0.491624	0.789384	0.439261	3	1.26124	5	136	224	141	0.180147	25.137	15.2265	12.6273	13.1193	9e+09	9e+09	9e+09	0	0	0	0	
2	4	12.3819	2.27357	3.08092	4.65828	1	70	0.465797	0.650757	0.407697	4	1.0865	2	132	257	129	0.222595	11.3559	14.0402	15.5374	15.4295	9e+09	9e+09	9e+09	0	0	0	0	
2	2	16.9394	2.28167	2.94112	6.84695	2	13	0.501533	0.787842	0.436603	4	0.772794	3	96	110	229	0.246639	15.6728	3.45156	30.162	17.5903	9e+09	9e+09	9e+09	0	0	0	0	
2	2	11.3025	2.69184	3.36912	5.74738	3	21	0.521741	0.779635	0.425191	2	1.25951	5	68	87	234	0.214952	28.9158	17.2236	6.91173	16.6489	9e+09	9e+09	9e+09	0	0	0	0	
1	4	16.2752	2.56424	4.48081	5.75616	3	68	0.548405	0.721241	0.409898	1	1.09727	4	74	325	53	0.221836	30.4774	10.4978	26.1926	2.58861	101097	-22.5921	900	0	0	0	0	
2	2	10.7695	2.25126	2.63879	5.0215	3	126	0.513446	0.725397	0.433682	4	0.666191	5	164	257	250	0.201043	21.4892	4.46704	19.5464	14.4478	9e+09	9e+09	9e+09	0	0	0	0	
1	2	15.4114	2.50628	4.26175	6.58935	2	151	0.505435	0.712504	0.427681	2	0.754659	3	162	72	245	0.21831	6.64953	12.873	29.2923	16.0094	9e+09	9e+09	9e+09	0	0	0	0	
1	3	11.7659	2.21391	4.47611	5.12443	1	92	0.474268	0.658248	0.435205	3	0.86932	3	156	152	73	0.225765	13.8601	2.99057	12.5926	11.9123	135096	-9.77252	900	0	0	0	0	
1	2	10.1665	2.64023	4.11657	6.28409	3	140	0.534739	0.796369	0.412629	3	1.10161	2	115	116	414	0.189779	18.3842	1.48004	28.6009	3.33663	209685	-23.8279	900	0	0	0	0	
1	4	17.793	2.55733	3.83413	6.41186	2	152	0.545488	0.691543	0.439287	3	0.77088	4	118	395	107	0.207035	22.3272	12.3909	29.3243	15.8672	88073.8	-24.0245	900	0	0	0	0	
2	2	13.4235	2.37059	4.47291	6.77856	2	66	0.478143	0.707038	0.441088	4	0.962574	4	86	224	282	0.202817	6.34936	19.0069	7.90973	16.0716	9e+09	9e+09	9e+09	0	0	0	0	
2	3	9.93147	2.46527	4.38621	5.55158	2	86	0.473602	0.746153	0.440746	2	0.834849	2	157	146	449	0.199517	32.1888	7.73043	5.05902	14.1462	9e+09	9e+09	9e+09	0	0	0	0	



#Generation 2 / 200
currentGen	2
evaluateCount	200
totalTime	54.5598
firstFrontCount	11
frontCount	19
avgEvalTime	0.329702
#end
NumDecks	SLayout	Length	Width	Height	Wheelbase	Structure	NumChargers	Gangway	Pitch	SWidth	MType	DWidth	Topology	UPower	Capacity	ChaPow	PSpace	FA1	FA2	RA1	RA2	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	
1	2	15.2896	2.64828	2.47278	6.79771	3	96	0.479538	0.735229	0.433176	4	0.664687	3	142	302	492	0.224079	32.8428	3.41257	15.8767	1.24832	120242	-33.9309	900	0	0	0	0	
1	2	10.456	2.27357	3.73728	5.19503	1	98	0.54519	0.710697	0.41584	3	1.48548	4	140	428	245	0.181874	20.0756	2.32273	9.7321	6.02664	1.34451	-13.0007	0.309392	0	0	0	0	
1	4	17.3426	2.66351	3.51372	5.9712	2	74	0.529085	0.700794	0.441288	1	1.37744	3	144	271	121	0.19774	33.8394	10.5477	12.9724	11.8821	83152.5	-31.534	900	0	0	0	0	
2	3	11.9011	2.50371	3.89522	4.69249	1	59	0.509551	0.806706	0.420893	1	0.772585	3	88	366	87	0.206632	5.21937	3.19604	14.018	5.93687	0.797031	-8.96345	0.1918	0	0	0	0	
1	3	14.1773	2.66573	3.11043	5.49594	2	75	0.537655	0.764767	0.431179	3	1.3653	3	55	330	421	0.22713	34.1233	6.55429	15.5116	7.94563	106365	-33.5513	900	0	0	0	0	
2	1	12.7238	2.38838	3.96494	6.36758	1	175	0.469427	0.71847	0.44843	3	0.747816	5	163	201	167	0.197755	29.8372	5.31347	16.0171	9.58676	2.16038	-21.159	0.316097	0	0	0	0	
1	4	17.3426	2.66351	3.51372	5.9712	2	74	0.529085	0.700794	0.441288	1	1.37744	3	144	271	132	0.19774	33.8394	10.5477	16.1328	11.8821	83152.5	-31.534	900	0	0	0	0	
2	3	11.9011	2.50371	3.89522	4.69249	1	59	0.509551	0.806706	0.420893	1	0.772585	4	88	366	87	0.206632	5.21937	3.19604	14.018	5.93687	0.850635	-10.6217	0.224253	0	0	0	0	
1	2	16.6334	2.37593	2.81065	5.77185	2	122	0.467291	0.700316	0.430156	2	1.08431	3	131	154	274	0.191423	27.1022	11.3709	28.6423	13.51	111108	-33.8087	900	0	0	0	0	
1	3	13.194	2.63342	2.3	5.12279	2	154	0.476232	0.707554	0.433262	1	0.65	4	78	403	228	0.215151	30.0094	9.98229	23.8338	5.24105	99677.9	-32.569	900	0	0	0	0	
